# ASAS-SN SkyPatrol ID: 128849560404
# ATLAS-REFCAT2: 188223020256241114
# Gaia DR2: 2248126315275354496
# TESS Input Catalog (TIC): 269701147


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456741.0907423,1002.6327,0.4359,8.9569,0.0005,15.6139,2.09,V,G,ba
2456742.0877458,904.7194,0.3516,9.0685,0.0004,15.8471,2.03,V,G,ba
2456751.0567721,935.9768,0.1608,9.0316,0.0002,16.6969,1.72,V,G,ba
2456756.0699369,973.9659,0.3126,8.9884,0.0003,15.9749,2.82,V,B,ba
2456758.0148671,941.4827,0.1767,9.0253,0.0002,16.5944,1.69,V,G,ba
2456759.0678381,989.6620,0.3836,8.9711,0.0004,15.7528,2.03,V,B,ba
2456765.0660042,967.7909,0.3213,8.9953,0.0004,15.9451,2.22,V,B,ba
2456772.0536141,997.3038,0.4135,8.9627,0.0005,15.6711,1.78,V,G,ba
2456782.0219071,287.9350,1.4305,10.3115,0.0054,14.3237,2.35,V,B,ba
2456784.0265202,990.1856,0.3813,8.9705,0.0004,15.7592,2.11,V,G,ba
2456786.0266969,1019.2384,0.4839,8.9391,0.0005,15.5005,2.27,V,G,ba
2456788.0092864,948.9287,0.1541,9.0167,0.0002,16.7430,1.72,V,G,ba
2456789.0012902,1000.8719,0.4303,8.9588,0.0005,15.6278,2.44,V,G,ba
2456795.0220134,929.9261,0.2403,9.0387,0.0003,16.2606,1.69,V,G,ba
2456797.0207358,866.6669,0.4999,9.1152,0.0006,15.4651,2.13,V,B,ba
2456800.9611083,940.2383,0.1118,9.0267,0.0001,17.0912,1.75,V,G,ba
2456802.9960333,837.2034,0.5738,9.1527,0.0007,15.3155,2.24,V,B,ba
2456804.9856325,946.1109,0.1097,9.0199,0.0001,17.1123,2.24,V,G,ba
2456807.9836099,1033.0447,0.5259,8.9245,0.0006,15.4102,2.49,V,G,ba
2456811.9918669,1007.8409,0.4472,8.9513,0.0005,15.5861,1.68,V,G,ba
2456812.9872654,944.3330,0.0831,9.0220,0.0001,17.4133,1.69,V,G,ba
2456814.9597678,970.5778,0.2936,8.9922,0.0003,16.0429,1.59,V,G,ba
2456815.9712378,974.3315,0.3137,8.9880,0.0003,15.9711,1.69,V,G,ba
2456818.9761494,992.0526,0.4072,8.9684,0.0004,15.6879,1.70,V,G,ba
2456820.9794493,909.3001,0.3530,9.0630,0.0004,15.8429,1.68,V,B,ba
2456822.9841908,959.4319,0.2529,9.0047,0.0003,16.2049,2.09,V,G,ba
2456824.9718669,955.8469,0.2180,9.0088,0.0002,16.3665,1.69,V,B,ba
2456825.9863819,535.1819,1.1650,9.6385,0.0024,14.5465,1.70,V,B,ba
2456827.9766836,978.4868,0.3365,8.9834,0.0004,15.8949,1.71,V,B,ba
2456829.117898,985.3843,0.3964,8.9758,0.0004,15.7171,1.68,V,G,ba
2456829.9397813,948.8960,0.1427,9.0167,0.0002,16.8260,1.71,V,G,ba
2456832.9627959,972.9810,0.3043,8.9895,0.0003,16.0039,1.67,V,G,ba
2456834.9566012,1002.7039,0.4298,8.9568,0.0005,15.6293,2.11,V,G,ba
2456835.9569534,1037.7712,0.5391,8.9195,0.0006,15.3832,2.10,V,G,ba
2456846.9294438,867.7606,0.4988,9.1138,0.0006,15.4674,1.82,V,B,ba
2456848.9421269,1000.2902,0.4346,8.9595,0.0005,15.6171,2.01,V,G,ba
2456849.9347587,878.9220,0.4773,9.0999,0.0006,15.5153,2.00,V,B,ba
2456850.9431851,944.9728,0.1658,9.0212,0.0002,16.6636,1.86,V,B,ba
2456852.948312,906.6162,0.3851,9.0662,0.0005,15.7485,2.44,V,B,ba
2456854.0112648,940.9827,0.2312,9.0258,0.0003,16.3026,2.06,V,B,ba
2456856.0821836,1005.7720,0.4464,8.9535,0.0005,15.5881,1.77,V,B,ba
2456857.079847,959.7422,0.2318,9.0044,0.0003,16.2995,1.71,V,G,ba
2456857.9242261,425.7253,1.2618,9.8870,0.0032,14.4598,1.80,V,B,ba
2456862.9156276,1016.5951,0.4760,8.9419,0.0005,15.5183,2.08,V,G,ba
2456863.9071005,1014.3139,0.4683,8.9444,0.0005,15.5360,1.73,V,G,ba
2456864.9055034,1021.5607,0.4913,8.9366,0.0005,15.4840,1.80,V,G,ba
2456865.9136455,983.1653,0.3524,8.9782,0.0004,15.8449,1.66,V,G,ba
2456868.8942869,970.5245,0.2939,8.9923,0.0003,16.0418,1.65,V,G,ba
2456874.9602932,1033.2154,0.5259,8.9243,0.0006,15.4101,2.16,V,G,ba
2456875.9020735,1018.4585,0.4847,8.9399,0.0005,15.4986,2.00,V,G,ba
2456876.8981568,996.8014,0.4154,8.9633,0.0005,15.6662,2.09,V,G,ba
2456882.9790974,1017.4851,0.4883,8.9410,0.0005,15.4907,2.05,V,G,ba
2456885.0027326,997.2285,0.4173,8.9628,0.0005,15.6613,1.82,V,G,ba
2456885.8620424,1008.7253,0.4505,8.9503,0.0005,15.5780,1.75,V,G,ba
2456887.882806,976.8097,0.3259,8.9853,0.0004,15.9298,1.61,V,G,ba
2456888.8462222,972.8016,0.3030,8.9897,0.0003,16.0086,1.61,V,G,ba
2456888.8476169,943.0331,0.0718,9.0235,0.0001,17.5717,1.61,V,G,ba
2456889.845578,994.3504,0.3987,8.9659,0.0004,15.7106,1.63,V,G,ba
2456890.8570606,997.5242,0.4109,8.9625,0.0004,15.6780,1.72,V,G,ba
2456891.8613792,965.4890,0.2643,8.9979,0.0003,16.1572,1.62,V,G,ba
2456892.8600128,1000.2837,0.4198,8.9595,0.0005,15.6547,1.68,V,G,ba
2456894.8576065,1013.1627,0.4660,8.9456,0.0005,15.5414,1.73,V,G,ba
2456896.8567662,977.8973,0.3305,8.9840,0.0004,15.9144,1.72,V,G,ba
2456897.832537,1009.5363,0.4522,8.9495,0.0005,15.5739,1.69,V,G,ba
2456898.8419044,983.5405,0.3567,8.9778,0.0004,15.8315,1.70,V,G,ba
2456900.8427991,1011.7740,0.4597,8.9471,0.0005,15.5562,1.76,V,G,ba
2456902.8320702,973.0270,0.3088,8.9895,0.0003,15.9883,1.65,V,G,ba
2456904.8509976,1005.3900,0.4474,8.9539,0.0005,15.5857,1.83,V,B,ba
2456906.8406446,974.2968,0.3325,8.9881,0.0004,15.9080,1.73,V,G,ba
2456907.8189345,947.0668,0.1738,9.0188,0.0002,16.6125,1.72,V,B,ba
2456910.9212586,872.4873,0.5503,9.1079,0.0007,15.3608,1.72,V,B,ba
2456911.9262546,964.3082,0.2887,8.9992,0.0003,16.0614,1.71,V,B,ba
2456912.821448,1006.0641,0.4479,8.9532,0.0005,15.5844,1.74,V,B,ba
2456913.8151083,1013.5419,0.4668,8.9452,0.0005,15.5395,1.71,V,G,ba
2456914.8222884,998.8838,0.4151,8.9610,0.0005,15.6670,1.79,V,G,ba
2456915.8312219,1043.3875,0.5564,8.9137,0.0006,15.3489,2.07,V,G,ba
2456916.8153849,1018.8100,0.4847,8.9395,0.0005,15.4986,1.81,V,G,ba
2456917.8247928,1016.7551,0.4766,8.9417,0.0005,15.5170,1.83,V,G,ba
