### magnitude offsets  bq -0.055  bB  0.155  ba -0.119  bA  0.007  bb  0.000  br -0.003 
HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2456731.089911,2014-3-14.589,ba,1.67,NA,9.186,0.037,NA,NA,V
2456735.079947,2014-3-18.579,ba,2.11,NA,9.155,0.037,NA,NA,V
2456737.071578,2014-3-20.571,ba,1.81,NA,9.243,0.037,NA,NA,V
2456741.089606,2014-3-24.589,ba,2.09,NA,9.152,0.037,NA,NA,V
2456742.086606,2014-3-25.586,ba,2.03,NA,9.235,0.037,NA,NA,V
2456751.055627,2014-4-3.555,ba,1.72,NA,9.202,0.037,NA,NA,V
2456758.013733,2014-4-10.513,ba,1.69,NA,9.217,0.037,NA,NA,V
2456772.052555,2014-4-24.552,ba,1.78,NA,9.255,0.037,NA,NA,V
2456784.025577,2014-5-6.525,ba,2.11,NA,9.178,0.037,NA,NA,V
2456786.025775,2014-5-8.525,ba,2.27,NA,9.143,0.037,NA,NA,V
2456788.008387,2014-5-10.508,ba,1.72,NA,9.361,0.037,NA,NA,V
2456789.000403,2014-5-11.5,ba,2.44,NA,9.019,0.037,NA,NA,V
2456795.021205,2014-5-17.521,ba,1.69,NA,9.319,0.037,NA,NA,V
2456800.960387,2014-5-23.46,ba,1.75,NA,9.214,0.037,NA,NA,V
2456804.984975,2014-5-27.484,ba,2.24,NA,9.197,0.037,NA,NA,V
2456807.982999,2014-5-30.482,ba,2.49,NA,9.099,0.037,NA,NA,V
2456811.991325,2014-6-3.491,ba,1.68,NA,9.159,0.037,NA,NA,V
2456812.986740,2014-6-4.486,ba,1.69,NA,9.237,0.037,NA,NA,V
2456814.959276,2014-6-6.459,ba,1.59,NA,9.171,0.037,NA,NA,V
2456815.970764,2014-6-7.47,ba,1.69,NA,9.191,0.037,NA,NA,V
2456818.975731,2014-6-10.475,ba,1.7,NA,9.190,0.037,NA,NA,V
2456822.983844,2014-6-14.483,ba,2.09,NA,9.195,0.037,NA,NA,V
2456829.117666,2014-6-20.617,ba,1.68,NA,9.197,0.037,NA,NA,V
2456829.940984,2014-6-21.44,ba,1.66,NA,9.208,0.037,NA,NA,V
